event_id,started_at,ended_at,max_confidence,detection_count,status,source,es_falso_positivo
1,2026-05-06T14:44:04.311098,2026-05-06T14:44:04.670837,0.8805,12,closed,rtsp,
2,2026-05-06T14:44:12.851264,2026-05-06T14:44:20.412475,0.8008,128,closed,rtsp,
3,2026-05-06T14:45:11.920826,2026-05-06T14:45:32.420367,0.8860,383,closed,rtsp,
4,2026-05-06T14:45:56.373569,2026-05-06T14:46:10.409739,0.9368,289,closed,rtsp,
5,2026-05-06T14:46:26.838708,2026-05-06T14:46:27.040051,0.8384,7,closed,rtsp,
6,2026-05-06T14:46:35.283921,2026-05-06T14:46:35.858930,0.7248,6,closed,rtsp,
7,2026-05-06T14:46:39.818182,2026-05-06T14:46:42.420354,0.7027,16,closed,rtsp,
8,2026-05-06T14:46:55.890149,2026-05-06T14:46:55.890149,0.6427,1,open,rtsp,
9,2026-05-06T15:02:03.991923,2026-05-06T15:02:03.991923,0.7005,1,closed,rtsp,
10,2026-05-06T15:02:10.631168,2026-05-06T15:02:20.851988,0.8804,96,open,rtsp,
11,2026-05-07T17:16:58.801560,2026-05-07T17:17:04.320474,0.7808,27,closed,rtsp,
12,2026-05-07T17:17:09.843637,2026-05-07T17:17:14.996628,0.7911,16,open,rtsp,
13,2026-05-07T17:34:28.250184,2026-05-07T17:34:28.250184,0.7625,1,open,rtsp,
14,2026-05-07T21:33:35.157253,2026-05-07T21:33:35.157253,0.6124,1,open,rtsp,
15,2026-05-07T23:15:05.309436,2026-05-07T23:15:10.873502,0.8621,48,closed,rtsp,
16,2026-05-07T23:15:15.019211,2026-05-07T23:15:28.249423,0.8654,152,open,rtsp,
17,2026-05-07T23:35:40.213969,2026-05-07T23:35:49.933595,0.9191,200,closed,rtsp,
18,2026-05-07T23:38:26.509374,2026-05-07T23:38:28.272344,0.7749,5,closed,rtsp,
19,2026-05-07T23:38:31.912499,2026-05-07T23:38:37.094177,0.8866,70,open,rtsp,
20,2026-05-07T23:46:03.232798,2026-05-07T23:46:07.731771,0.7895,50,closed,rtsp,
21,2026-05-07T23:46:11.951757,2026-05-07T23:46:12.011179,0.7126,2,open,rtsp,
22,2026-05-08T18:28:01.107053,2026-05-08T18:28:01.552203,0.8685,9,closed,rtsp,
23,2026-05-11T10:32:46.274396,2026-05-11T10:32:47.265256,0.7488,13,closed,rtsp,
24,2026-05-11T10:32:50.595263,2026-05-11T10:32:53.995305,0.8425,14,open,rtsp,
